season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,demand_high,hr_sin,hr_cos,mnth_sin,mnth_cos,weekday_sin,weekday_cos,rush_hour,is_night,is_weekend,peak_season,bad_weather,rush_workday,temp_workday,comfort
1,0,1,0,0,6,0,1,0.24,0.81,0.0896,16,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,1,0,0,0,0.0,0.04151423999999999
1,0,1,1,0,6,0,1,0.22,0.8,0.0896,40,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,1,0,0,0,0.0,0.04005759999999999
1,0,1,2,0,6,0,1,0.22,0.8,0.0896,32,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,1,0,0,0,0.0,0.04005759999999999
1,0,1,3,0,6,0,1,0.24,0.75,0.0896,13,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,1,0,0,0,0.0,0.054624
1,0,1,4,0,6,0,1,0.24,0.75,0.0896,1,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,1,0,0,0,0.0,0.054624
1,0,1,5,0,6,0,2,0.24,0.75,0.0896,1,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,1,0,0,0,0.0,0.054624
1,0,1,6,0,6,0,1,0.22,0.8,0.0896,2,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.04005759999999999
1,0,1,7,0,6,0,1,0.2,0.86,0.0896,3,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1,0,0,0,0.0,0.025491200000000002
1,0,1,8,0,6,0,1,0.24,0.75,0.0896,8,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1,0,0,0,0.0,0.054624
1,0,1,9,0,6,0,1,0.32,0.76,0.0896,14,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1,0,0,0,0.0,0.06991871999999999
1,0,1,10,0,6,0,1,0.38,0.76,0.2537,36,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.06806256
1,0,1,11,0,6,0,1,0.36,0.81,0.2836,56,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.04900175999999998
1,0,1,12,0,6,0,1,0.42,0.77,0.2836,84,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.06920423999999999
1,0,1,13,0,6,0,2,0.46,0.72,0.2985,94,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.09035320000000002
1,0,1,14,0,6,0,2,0.46,0.72,0.2836,106,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.09227232
1,0,1,15,0,6,0,2,0.44,0.77,0.2985,110,0,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.0709918
1,0,1,16,0,6,0,2,0.42,0.82,0.2985,93,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.05303340000000001
1,0,1,17,0,6,0,2,0.44,0.82,0.2836,67,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1,0,0,0,0.0,0.056738880000000005
1,0,1,18,0,6,0,3,0.42,0.88,0.2537,35,0,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1,0,1,0,0.0,0.03761351999999999
1,0,1,19,0,6,0,3,0.42,0.88,0.2537,37,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,1,0,1,0,0.0,0.03761351999999999
1,0,1,20,0,6,0,2,0.4,0.87,0.2537,36,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.038807600000000005
1,0,1,21,0,6,0,2,0.4,0.87,0.194,34,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0.0,0.041912000000000005
